Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Sleep_Hours,Previous_Scores,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,Physical_Activity,Parental_Education_Level,Distance_from_Home,Exam_Score
18,94,Medium,High,7,82,Yes,3,Medium,Medium,2,College,Near,70
11,98,Medium,Medium,9,82,Yes,1,Medium,Medium,3,Postgraduate,Far,68
16,70,Medium,Medium,8,98,Yes,2,Medium,Medium,3,High School,Moderate,65
17,78,Medium,Medium,6,88,Yes,1,Medium,High,3,College,Near,68
26,61,Medium,Low,6,70,Yes,2,Low,Medium,3,High School,Moderate,64
22,86,Low,Medium,7,72,Yes,3,Low,High,2,High School,Moderate,68
9,77,Medium,Medium,5,57,Yes,2,Medium,High,3,High School,Near,63
22,71,Low,Medium,7,65,Yes,1,Medium,Low,4,College,Moderate,64
18,68,High,Medium,7,72,Yes,0,Medium,Medium,3,College,Near,64
16,86,Low,Medium,8,63,Yes,2,Medium,Medium,4,High School,Near,67
24,77,High,Low,8,96,Yes,0,Medium,Medium,3,High School,Near,67
26,67,Medium,High,7,51,Yes,2,High,High,4,Postgraduate,Far,66
26,88,Medium,High,5,79,Yes,1,Low,High,4,College,Moderate,72
15,83,Medium,High,5,89,No,1,Medium,High,2,High School,Near,65
18,94,Medium,Medium,6,87,Yes,1,Medium,Medium,4,High School,Near,71
22,65,High,Low,8,82,Yes,2,Medium,High,1,Postgraduate,Near,66
26,91,Medium,Low,8,71,Yes,0,Low,Medium,3,High School,Moderate,68
17,87,Medium,Medium,7,96,Yes,1,High,Medium,5,Postgraduate,Near,70
19,65,Medium,Medium,10,66,Yes,0,Low,Medium,3,High School,Moderate,62
13,88,Low,High,9,88,Yes,2,Low,High,4,Postgraduate,Far,68
13,78,Medium,High,9,96,Yes,2,Low,Medium,3,College,Moderate,67
25,98,Low,High,8,56,No,0,Medium,High,3,Postgraduate,Near,71
28,66,Medium,High,8,97,Yes,0,Medium,Medium,2,High School,Near,68
20,86,Medium,Medium,8,89,Yes,1,Low,Medium,3,Postgraduate,Near,69
26,75,Low,High,4,81,Yes,3,Medium,High,2,High School,Moderate,70
22,98,Medium,High,5,69,No,1,Low,High,4,High School,Moderate,69
16,73,Medium,Medium,7,95,Yes,1,Low,Medium,4,College,Near,65
22,98,Medium,Low,7,52,No,3,Medium,Medium,3,College,Near,70
29,96,Medium,Low,7,72,Yes,1,Low,Medium,3,High School,Moderate,71
20,71,Medium,Medium,7,88,Yes,1,Low,Low,4,College,Near,65
29,92,Low,Medium,4,91,Yes,2,Medium,Medium,1,Postgraduate,Near,72
4,100,High,High,8,60,Yes,0,Medium,High,4,College,Moderate,69
25,70,Medium,Medium,7,52,Yes,1,Medium,Medium,3,Postgraduate,Near,66
21,77,Low,Medium,7,90,Yes,4,Medium,Medium,3,Postgraduate,Moderate,68
18,81,High,Low,8,71,Yes,0,Medium,Medium,3,High School,Moderate,65
21,72,Medium,Medium,5,57,Yes,1,High,Medium,5,College,Moderate,64
8,61,Medium,Medium,7,54,Yes,1,High,Medium,3,College,Near,60
19,69,Medium,High,7,82,Yes,1,Low,Medium,2,High School,Near,65
22,71,High,Medium,6,79,Yes,1,Low,Low,3,High School,Near,66
29,78,High,High,4,93,Yes,5,Medium,High,3,College,Near,74
17,67,Medium,Medium,5,52,Yes,2,Medium,Medium,3,High School,Far,62
15,95,Medium,Medium,7,93,Yes,2,Low,Medium,4,College,Moderate,70
17,88,Medium,High,7,94,Yes,0,Medium,Medium,3,High School,Near,69
25,63,Medium,High,7,72,Yes,3,Medium,High,4,College,Far,67
22,86,Low,Low,6,54,Yes,2,Medium,Medium,0,High School,Moderate,64
17,86,Medium,High,5,97,Yes,3,High,Medium,3,College,Near,71
23,98,Medium,Low,7,54,Yes,0,Medium,Medium,3,College,Near,68
21,60,High,Medium,7,80,Yes,0,Medium,High,4,College,Near,64
26,70,Medium,Low,8,75,Yes,1,Medium,Low,4,High School,Far,63
16,97,Medium,Medium,6,92,Yes,0,High,Medium,4,College,Near,71
18,97,High,Medium,4,75,Yes,0,Low,Medium,3,High School,Moderate,69
18,89,High,Medium,4,73,Yes,3,High,Medium,2,College,Near,100
11,91,Medium,Medium,6,94,Yes,3,Medium,Medium,3,College,Moderate,68
22,64,Low,Medium,7,98,No,1,Medium,Medium,3,High School,Near,62
22,81,Medium,Medium,7,77,Yes,2,Medium,Medium,3,Postgraduate,Far,68
20,69,High,High,6,73,Yes,2,Low,Medium,3,High School,Far,66
19,67,Low,Medium,5,92,Yes,0,Medium,Medium,3,College,Near,64
12,92,Medium,Medium,4,92,Yes,2,Medium,High,3,High School,Moderate,67
17,65,Medium,High,8,66,Yes,1,High,High,4,Postgraduate,Moderate,65
18,79,Medium,Medium,7,79,Yes,0,Low,High,3,College,Far,65
15,98,High,Medium,6,58,Yes,0,Low,High,3,College,Near,69
19,67,Medium,Medium,5,82,Yes,1,Low,Low,3,High School,Near,63
22,99,Medium,Low,6,92,Yes,3,Medium,Medium,4,Postgraduate,Moderate,72
31,100,Medium,Medium,7,59,Yes,2,High,High,5,Postgraduate,Moderate,76
21,82,Medium,High,7,66,Yes,3,Low,Medium,3,College,Near,69
22,67,Medium,Medium,7,72,Yes,3,Low,High,2,Postgraduate,Moderate,67
20,73,High,Medium,9,92,Yes,2,Medium,High,3,College,Near,69
8,77,High,Medium,6,87,Yes,0,Low,Medium,2,High School,Moderate,63
20,72,Medium,Medium,9,66,Yes,3,Low,High,3,Postgraduate,Near,67
20,71,Low,High,7,62,Yes,2,Medium,Medium,5,College,Near,66
35,99,High,High,7,85,Yes,2,Medium,High,2,Postgraduate,Near,79
19,66,Medium,Medium,8,74,Yes,1,High,Medium,3,High School,Near,64
22,89,High,High,6,80,Yes,1,High,High,3,High School,Near,73
20,60,Low,High,7,82,Yes,2,Low,High,4,High School,Near,63
13,84,Medium,Medium,5,78,Yes,1,Low,High,2,High School,Near,65
27,97,Low,High,8,81,Yes,0,High,Medium,5,High School,Near,73
25,72,High,High,8,94,Yes,2,Low,Medium,4,College,Moderate,70
25,67,High,Medium,9,93,Yes,2,Low,High,3,High School,Near,68
15,86,Medium,Medium,7,57,Yes,1,Medium,Medium,3,College,Near,65
28,89,Low,High,9,79,Yes,0,Low,Medium,1,College,Moderate,71
12,88,Low,Medium,6,72,Yes,2,Medium,Medium,2,College,Far,64
24,73,Medium,High,8,64,Yes,4,High,Medium,3,College,Moderate,68
33,70,Medium,Medium,6,82,Yes,1,Low,High,4,College,Near,69
14,98,Medium,Medium,7,76,Yes,0,Medium,High,4,College,Moderate,69
17,97,Medium,Medium,8,89,Yes,1,Low,,4,High School,Far,69
21,78,Medium,Medium,10,55,Yes,1,High,Low,2,College,Near,67
17,94,Low,Medium,8,65,Yes,4,Medium,Medium,6,High School,Far,68
11,78,Medium,High,8,51,Yes,2,Low,Medium,3,Postgraduate,Near,64
20,77,Medium,Medium,6,87,Yes,0,Low,High,4,High School,Near,66
14,66,High,Low,7,96,Yes,3,Low,High,3,High School,Near,63
23,77,Medium,Medium,7,79,Yes,0,Low,High,2,High School,Moderate,66
14,81,Medium,Medium,9,81,Yes,1,Low,High,3,Postgraduate,Near,66
29,61,Medium,High,7,52,Yes,3,Low,Medium,3,College,Near,67
15,78,High,High,9,75,Yes,1,Low,Medium,1,High School,Near,65
18,91,Low,Medium,5,76,Yes,1,Medium,Medium,3,High School,Near,68
25,87,Medium,Low,9,52,Yes,1,Low,High,2,High School,Near,68
13,85,High,Medium,6,89,Yes,0,High,Medium,1,High School,Near,65
21,96,Medium,Medium,8,64,Yes,2,Medium,High,0,College,Near,71
28,61,Medium,High,6,86,Yes,1,Low,Medium,3,Postgraduate,Far,65
10,82,Medium,Low,8,70,Yes,3,Low,High,1,Postgraduate,Near,64
21,91,High,Medium,6,100,Yes,0,High,Medium,2,Postgraduate,Near,72
22,82,Medium,Medium,9,61,Yes,2,Low,Medium,2,High School,Near,65
25,73,Medium,High,8,53,No,0,Low,High,5,Postgraduate,Near,66
13,65,Low,High,6,99,Yes,0,Low,Medium,4,High School,Near,61
12,96,Low,High,8,62,Yes,2,Medium,High,3,College,Near,68
23,79,High,High,8,82,Yes,3,Medium,Medium,3,Postgraduate,Moderate,69
22,95,Medium,High,6,69,Yes,1,Low,Medium,3,College,Near,72
22,83,Medium,High,5,82,Yes,2,Low,High,3,Postgraduate,Near,71
22,87,High,High,5,80,Yes,2,Low,High,3,High School,Near,70
16,92,Medium,High,5,85,Yes,1,Low,Medium,2,High School,Moderate,68
21,86,Low,Medium,5,51,Yes,2,Low,High,2,High School,Moderate,67
22,76,Medium,Medium,8,92,Yes,1,Low,High,4,High School,Near,68
16,81,Medium,Medium,8,74,Yes,3,Medium,Medium,2,Postgraduate,Near,68
31,92,Medium,Medium,4,76,Yes,2,Medium,High,4,High School,Far,72
23,75,Low,High,6,71,Yes,0,Medium,Medium,2,College,Near,65
13,76,Medium,High,5,99,Yes,2,Medium,Medium,4,High School,Near,66
24,64,Medium,Medium,8,90,Yes,0,Low,High,3,High School,Near,65
14,97,Medium,Medium,6,66,Yes,2,Medium,Medium,3,College,Near,67
25,64,Medium,High,5,89,Yes,2,Medium,Medium,4,College,Far,66
27,86,Medium,Medium,7,72,Yes,1,Medium,High,4,High School,Far,69
15,77,Medium,Medium,8,94,Yes,0,High,High,3,College,Moderate,66
26,76,Medium,High,6,52,Yes,4,High,Low,3,High School,Near,69
22,87,High,Low,7,68,No,0,Low,Medium,2,High School,Near,67
25,63,High,Medium,6,71,Yes,1,Medium,Low,3,High School,Near,66
31,84,Medium,Medium,9,87,Yes,2,Low,Medium,3,College,Far,71
19,91,High,Low,6,59,Yes,5,Medium,High,4,College,Moderate,70
15,93,High,Medium,6,64,Yes,2,Medium,High,4,Postgraduate,Near,71
15,67,Medium,Medium,7,86,Yes,1,High,Medium,3,Postgraduate,Near,66
15,96,Medium,Medium,7,54,No,3,Medium,High,2,High School,Near,67
20,86,High,Low,8,60,Yes,1,Medium,Medium,4,College,Far,66
22,95,Medium,High,9,88,Yes,0,Low,High,2,Postgraduate,Near,72
22,79,Medium,Medium,9,94,Yes,1,Medium,Medium,3,High School,Near,68
25,82,Medium,Medium,6,86,No,3,Low,High,3,High School,Near,69
20,97,Medium,Medium,7,76,Yes,2,Low,Low,3,Postgraduate,Near,71
29,96,Medium,Medium,9,55,No,0,Medium,Medium,2,Postgraduate,Far,70
18,78,Medium,Medium,9,91,Yes,2,High,Low,4,College,Far,67
36,71,Medium,Medium,6,56,Yes,2,High,Medium,2,High School,Far,69
24,76,Low,High,8,69,Yes,2,Medium,Medium,1,High School,Moderate,65
15,76,High,High,8,53,Yes,1,Low,Medium,4,College,Near,65
14,71,Medium,Medium,8,85,Yes,2,Medium,High,4,High School,Near,64
23,71,Low,Low,9,75,Yes,1,Low,Medium,2,College,Near,63
19,94,Low,Medium,5,95,Yes,3,Low,Low,2,High School,Moderate,69
24,63,Medium,Low,6,57,Yes,1,Low,High,5,College,Near,64
23,87,High,High,8,91,Yes,0,High,Medium,3,High School,Moderate,72
20,67,Low,Medium,7,76,Yes,0,Medium,Medium,4,High School,Near,63
15,74,Low,High,4,68,Yes,3,Low,Medium,3,High School,Near,64
11,62,Medium,High,5,82,Yes,3,High,Medium,4,College,Moderate,64
17,71,Medium,Medium,8,90,Yes,5,Medium,Medium,1,Postgraduate,Far,67
25,91,Medium,Medium,8,72,Yes,2,Medium,High,0,Postgraduate,Near,71
21,95,Medium,Medium,5,62,Yes,1,Medium,Low,4,High School,Near,70
13,69,Medium,Low,9,96,Yes,0,High,Medium,4,High School,Far,61
21,79,Medium,High,7,66,Yes,2,Low,Medium,4,College,Moderate,67
22,79,High,Medium,5,100,Yes,4,High,High,3,College,Near,72
15,95,Low,Low,6,88,Yes,1,Low,Medium,5,High School,Near,66
21,91,Medium,High,5,84,Yes,1,High,Low,2,High School,Near,70
20,81,High,Medium,6,51,No,3,Medium,Medium,4,High School,Near,67
13,87,High,Low,4,72,Yes,2,Medium,High,3,High School,Moderate,67
22,94,Low,Medium,7,75,Yes,2,High,Medium,2,College,Near,71
23,60,High,Medium,8,69,Yes,1,Low,Medium,4,College,Near,66
26,76,Medium,Medium,5,57,Yes,1,Medium,Medium,4,High School,Near,68
26,96,Medium,Medium,7,68,Yes,3,High,Medium,3,College,Near,74
12,90,Medium,Low,6,54,No,1,High,Medium,3,High School,Near,64
14,82,Medium,Medium,8,65,Yes,1,Low,Medium,3,College,Near,65
23,81,Low,Medium,4,54,Yes,1,Low,Medium,3,College,Near,66
23,74,Medium,High,8,88,Yes,0,Medium,High,3,High School,Near,66
23,81,Medium,Low,4,84,Yes,2,Medium,Medium,5,High School,Near,68
43,86,High,Medium,7,97,Yes,2,Medium,High,1,High School,Near,78
23,77,Medium,High,6,69,Yes,1,Medium,Medium,2,High School,Moderate,67
27,89,Medium,High,6,89,Yes,3,Medium,Medium,3,High School,Near,74
26,94,Medium,High,5,79,Yes,1,Low,High,2,Postgraduate,Near,74
24,66,Medium,Low,9,82,Yes,1,Medium,Medium,2,High School,Near,62
18,78,High,Medium,5,77,No,2,Medium,Medium,4,High School,Far,66
25,76,Medium,Medium,5,89,Yes,3,Medium,High,3,High School,Far,69
15,87,Medium,High,10,52,Yes,2,Low,High,3,College,Near,68
19,70,Medium,Low,7,54,Yes,0,Medium,Medium,2,High School,Moderate,89
17,86,High,Low,5,55,No,2,High,Medium,4,College,Near,66
20,95,Low,Medium,7,64,No,2,Medium,High,3,High School,Near,68
34,77,Medium,Low,7,80,Yes,0,Medium,Medium,3,High School,Near,69
9,96,Medium,Medium,4,82,No,0,Low,Medium,4,College,Near,67
24,100,High,High,6,86,Yes,2,Medium,Medium,5,High School,Near,75
10,64,Medium,High,7,64,Yes,0,Medium,Medium,4,High School,Moderate,60
17,69,High,Medium,9,83,Yes,2,Medium,High,4,College,Moderate,66
27,98,Low,High,7,56,Yes,1,High,Medium,3,College,Near,73
20,98,Medium,Low,7,50,Yes,1,Medium,High,2,High School,Near,68
14,64,Medium,Medium,6,85,Yes,0,Medium,Medium,3,High School,Near,62
16,61,Medium,Medium,9,86,Yes,2,Low,High,2,High School,Near,62
24,66,High,Low,8,81,Yes,1,Medium,Medium,4,High School,Far,65
16,100,High,Low,8,63,Yes,2,Low,Medium,3,High School,Moderate,69
21,67,Medium,Medium,7,96,Yes,3,Low,Medium,2,High School,Far,64
20,80,Medium,High,5,94,Yes,0,Low,Low,4,Postgraduate,Moderate,67
16,94,High,High,9,76,Yes,0,Low,High,2,High School,Near,70
33,61,Medium,Medium,7,99,Yes,2,Medium,High,3,College,Near,70
24,84,High,Low,7,65,Yes,3,Medium,High,3,High School,Near,69
8,71,High,Low,8,75,Yes,0,Medium,High,3,High School,Near,61
21,94,Medium,Medium,7,96,Yes,0,Medium,Medium,2,Postgraduate,Moderate,69
16,71,High,Medium,5,73,Yes,1,Medium,Medium,0,High School,Near,63
25,87,Medium,Low,7,74,Yes,0,Medium,High,4,High School,Near,67
15,87,Low,Medium,4,54,Yes,1,Medium,Medium,6,,Moderate,65
19,69,Medium,Medium,7,61,Yes,3,High,High,4,High School,Moderate,66
23,61,Low,Medium,9,58,Yes,4,Medium,Medium,2,High School,Near,63
25,76,Medium,High,4,78,Yes,2,Medium,Medium,3,High School,Moderate,68
13,72,High,High,7,66,Yes,0,Low,High,4,Postgraduate,Near,65
18,92,Low,Medium,8,54,Yes,1,Medium,Medium,3,High School,Near,67
17,92,Low,Low,8,75,Yes,2,Medium,High,3,Postgraduate,Near,68
16,78,Medium,High,6,83,Yes,0,Low,Low,3,College,Near,64
31,84,Medium,Medium,5,87,Yes,0,Medium,Medium,3,College,Moderate,71
22,84,Medium,Medium,6,92,Yes,0,Medium,Medium,5,High School,Near,69
12,93,Medium,Medium,9,74,Yes,1,Medium,Medium,3,Postgraduate,Moderate,67
26,77,Low,Medium,4,70,Yes,2,High,Low,3,College,Moderate,65
33,71,Low,Medium,5,84,Yes,1,Medium,Medium,2,High School,Near,68
26,71,High,Medium,6,51,No,1,High,Medium,3,Postgraduate,Moderate,67
11,81,Medium,Medium,6,82,Yes,3,Medium,High,4,High School,Near,67
17,78,Medium,High,7,70,No,2,Low,High,3,High School,Near,66
28,78,High,Medium,9,73,Yes,2,Medium,Medium,4,College,Moderate,70
16,64,High,Low,5,65,Yes,3,Medium,High,4,Postgraduate,Moderate,65
23,89,Low,Low,7,56,Yes,4,Medium,Low,4,Postgraduate,Near,69
25,69,Medium,Medium,7,70,No,1,High,High,4,High School,Far,65
14,68,High,Medium,6,65,Yes,1,High,Medium,3,College,Near,63
20,77,Medium,Medium,5,98,Yes,2,Low,High,2,Postgraduate,Far,67
1,69,High,Medium,6,97,Yes,1,Low,Medium,3,High School,Near,61
14,83,Medium,Low,6,82,Yes,0,Medium,Medium,2,High School,Near,65
18,75,Low,High,8,95,Yes,1,Low,Low,2,College,Near,66
13,78,Medium,High,8,88,Yes,0,High,Low,3,College,Near,66
30,81,Medium,Low,5,67,Yes,1,High,High,1,High School,Near,69
11,68,Medium,Medium,6,80,Yes,2,Medium,Medium,3,College,Moderate,63
17,66,Low,High,6,61,Yes,1,High,Medium,6,Postgraduate,Near,65
21,95,Low,Low,10,84,Yes,0,High,Medium,4,High School,Near,67
29,77,High,High,7,52,Yes,2,High,Medium,3,High School,Near,69
11,76,Low,Medium,5,92,Yes,4,Medium,Low,2,Postgraduate,Near,65
27,61,Medium,Medium,6,79,Yes,1,Low,Medium,3,High School,Moderate,65
20,80,High,Low,6,53,Yes,0,Low,Medium,2,College,Moderate,65
14,82,Medium,High,8,94,Yes,2,Low,High,5,College,Far,67
23,82,Low,Medium,8,94,Yes,1,Medium,Medium,2,High School,,66
21,88,Medium,High,7,93,Yes,4,Low,Medium,3,High School,Near,72
16,67,Medium,High,7,89,Yes,3,Low,Medium,3,College,Near,66
20,70,Medium,Medium,7,84,No,2,Medium,High,4,College,Far,65
18,92,High,Medium,7,70,Yes,1,Low,Medium,3,High School,Moderate,69
21,98,Medium,Low,4,57,Yes,2,High,Low,2,High School,Near,68
24,65,Medium,Low,7,64,Yes,1,High,Medium,1,Postgraduate,Near,64
30,80,Low,High,6,67,Yes,3,Medium,Medium,4,College,Moderate,69
13,69,Medium,Low,5,68,Yes,0,High,Medium,1,High School,Moderate,59
33,62,High,Medium,10,78,Yes,0,Medium,Medium,3,High School,Moderate,68
8,73,Medium,Medium,7,60,No,0,High,Medium,3,High School,Near,60
19,66,Medium,High,7,59,Yes,1,High,Medium,3,High School,Far,62
24,88,Low,Medium,6,86,Yes,0,Low,Low,3,College,Near,67
22,81,Low,High,8,50,Yes,4,Medium,Medium,5,High School,Far,68
16,66,Medium,High,5,57,Yes,3,Medium,Medium,3,High School,Moderate,64
19,60,Medium,High,7,72,Yes,3,Low,High,3,High School,Moderate,65
17,92,Low,Low,6,57,Yes,2,Medium,Medium,2,High School,Moderate,65
16,67,High,Medium,8,98,Yes,0,Low,Low,3,High School,Near,63
25,84,Medium,Low,6,84,Yes,2,Medium,High,3,High School,Near,70
22,73,Low,Medium,9,72,Yes,3,Medium,Medium,3,High School,Near,66
16,83,Medium,High,7,56,Yes,4,High,Medium,3,High School,Near,68
25,73,Low,Low,8,69,Yes,3,Medium,Medium,3,High School,Near,66
22,63,Low,Low,8,83,Yes,3,Medium,Medium,1,College,Near,63
25,69,High,Medium,9,98,Yes,1,Low,Medium,3,College,Moderate,66
24,68,Medium,Medium,6,74,Yes,1,Medium,Medium,3,High School,Near,65
15,77,Medium,Medium,8,85,Yes,1,Low,Medium,2,Postgraduate,Moderate,66
17,86,High,Low,4,60,Yes,2,High,Low,3,College,Moderate,67
24,71,Medium,Medium,7,81,Yes,0,Low,Medium,3,High School,Near,66
24,60,Low,Medium,6,62,Yes,4,Low,High,3,High School,Near,63
20,81,Medium,Medium,5,60,Yes,3,Medium,Medium,4,High School,Near,66
21,84,Medium,Medium,6,75,No,1,High,Medium,3,College,Moderate,67
28,99,Medium,Medium,6,61,No,1,Low,Medium,3,High School,Near,71
16,84,Medium,High,7,86,Yes,1,Low,Medium,2,High School,Near,67
23,79,Medium,High,6,97,Yes,1,High,Low,4,High School,Moderate,69
19,83,Medium,Medium,7,70,Yes,2,Low,Medium,4,Postgraduate,Near,67
19,97,High,Medium,6,66,Yes,2,Medium,Medium,2,College,Moderate,72
27,93,High,Low,6,59,Yes,2,Low,Medium,4,High School,Near,70
25,73,Medium,High,7,70,Yes,0,Low,Medium,4,Postgraduate,Moderate,67
25,69,Low,High,7,78,Yes,0,Low,High,3,High School,Far,64
28,71,Medium,Medium,8,69,Yes,1,Medium,High,1,College,Moderate,67
20,80,Low,High,8,81,Yes,3,Medium,Medium,4,Postgraduate,Near,69
24,90,Low,Low,7,83,Yes,0,Low,Medium,3,College,,68
18,80,Medium,Medium,8,55,Yes,2,Low,Low,3,High School,Moderate,63
22,63,Medium,High,7,85,Yes,4,High,High,3,College,Near,68
19,89,High,Medium,7,95,Yes,0,Medium,Medium,3,High School,Near,70
21,92,Medium,Low,8,51,Yes,0,Medium,Medium,2,College,Moderate,66
24,72,High,High,6,78,Yes,0,Low,High,6,High School,Near,68
15,87,High,Low,4,80,Yes,0,Low,Medium,3,College,Near,67
33,77,Low,High,5,85,Yes,0,Low,Medium,5,High School,Far,69
14,96,Medium,Low,9,69,Yes,0,Medium,Medium,3,College,Near,66
13,94,Medium,Medium,7,91,Yes,3,Low,Medium,3,High School,Near,68
27,81,Medium,Medium,7,77,Yes,2,Medium,Low,2,Postgraduate,Moderate,69
25,88,Medium,Medium,7,70,Yes,1,Medium,Medium,3,Postgraduate,Moderate,70
24,95,Medium,High,8,86,Yes,1,Medium,High,3,College,Near,74
24,80,Medium,High,7,96,Yes,0,Low,High,0,College,Moderate,70
20,73,Medium,Medium,7,91,Yes,1,Medium,High,2,Postgraduate,Moderate,66
15,90,High,Medium,8,97,Yes,1,Low,High,3,College,Near,69
20,69,Medium,High,6,63,Yes,0,Low,Medium,3,Postgraduate,Near,64
16,76,Low,High,8,56,No,1,Low,Medium,1,High School,Near,62
26,95,Low,High,7,77,Yes,0,Medium,Medium,3,High School,Moderate,70
19,89,High,Medium,7,52,Yes,2,Medium,Medium,4,High School,Moderate,68
15,76,Medium,Medium,6,84,Yes,0,Medium,High,3,College,Near,65
18,69,High,High,7,62,Yes,3,Medium,Medium,3,High School,Moderate,65
22,74,High,High,6,73,Yes,3,High,High,4,Postgraduate,Moderate,71
17,71,High,Medium,9,83,Yes,2,Medium,Medium,5,High School,Near,66
15,67,Medium,Medium,4,74,Yes,0,Low,Medium,3,College,Moderate,61
21,90,Low,Medium,8,62,Yes,2,Medium,High,5,High School,Near,67
21,70,Low,High,4,94,Yes,0,Low,High,2,College,Far,65
17,78,Medium,High,8,88,Yes,0,Low,Medium,3,High School,Near,65
17,75,Medium,High,6,80,No,1,Low,Medium,5,High School,Moderate,65
21,99,Medium,Medium,8,85,Yes,4,Medium,Medium,4,High School,Moderate,73
11,76,Medium,Medium,7,71,No,1,Medium,Low,2,College,Near,62
12,63,Medium,High,5,69,Yes,0,Medium,High,2,College,Moderate,60
16,64,Low,Medium,9,58,Yes,1,Medium,Medium,3,College,Moderate,61
19,84,Low,Medium,8,90,Yes,2,Low,Medium,3,Postgraduate,Far,67
22,84,High,Medium,8,69,No,3,Medium,High,4,College,Near,70
29,77,Low,High,6,85,Yes,1,Medium,Medium,1,College,Near,69
25,77,Medium,Low,8,65,No,0,Medium,Medium,5,College,Far,66
19,62,Medium,Medium,5,90,Yes,2,Low,High,3,College,Moderate,64
20,81,High,Medium,4,55,Yes,1,High,Medium,2,Postgraduate,Moderate,68
14,80,High,Medium,5,81,Yes,1,Low,Medium,4,Postgraduate,Far,67
20,66,Medium,Medium,6,90,Yes,0,Medium,Medium,1,College,Near,64
18,64,Medium,Medium,6,83,Yes,2,Low,Medium,2,College,Near,65
22,65,Low,High,6,85,Yes,2,High,Medium,3,Postgraduate,Near,66
15,64,Medium,Medium,6,76,Yes,2,Medium,Medium,4,High School,,63
23,84,High,Medium,6,78,Yes,2,Low,Low,2,High School,Moderate,68
29,68,Medium,High,4,53,Yes,1,Medium,Medium,4,High School,Far,66
19,70,Medium,Medium,7,63,No,3,Low,Low,5,High School,Near,63
